Date,MACD_Buy,MACD_Sell,RSI_Buy,RSI_Sell,Volume_Buy,Volume_Sell,Ticker
2025-03-20,False,False,False,False,False,False,AAPL
2025-03-21,True,False,False,False,False,False,AAPL
2025-03-24,False,False,False,False,False,True,AAPL
2025-03-25,False,False,False,False,False,True,AAPL
2025-03-26,False,False,False,False,False,True,AAPL
2025-03-27,False,False,False,False,False,False,AAPL
2025-03-28,False,False,False,False,False,False,AAPL
2025-03-31,False,False,False,False,False,False,AAPL
2025-04-01,False,False,False,False,False,True,AAPL
2025-04-02,False,False,False,False,False,True,AAPL
2025-04-03,False,True,False,False,False,False,AAPL
2025-04-04,False,False,False,False,False,False,AAPL
2025-04-07,False,False,False,False,False,False,AAPL
2025-04-08,False,False,True,False,False,True,AAPL
2025-04-09,False,False,False,False,False,False,AAPL
2025-04-10,False,False,False,False,False,True,AAPL
2025-04-11,False,False,False,False,False,True,AAPL
2025-04-14,False,False,False,False,False,False,AAPL
2025-04-15,False,False,False,False,False,True,AAPL
2025-04-16,False,False,False,False,False,False,AAPL
2025-04-17,False,False,False,False,False,True,AAPL
2025-03-20,False,False,False,False,False,False,GOOGL
2025-03-21,True,False,False,False,False,False,GOOGL
2025-03-24,False,False,False,False,False,True,GOOGL
2025-03-25,False,False,False,False,False,True,GOOGL
2025-03-26,False,False,False,False,False,False,GOOGL
2025-03-27,False,False,False,False,False,True,GOOGL
2025-03-28,False,True,False,False,False,False,GOOGL
2025-03-31,False,False,False,False,False,False,GOOGL
2025-04-01,False,False,False,False,False,True,GOOGL
2025-04-02,False,False,False,False,False,True,GOOGL
2025-04-03,False,False,False,False,False,False,GOOGL
2025-04-04,False,False,False,False,False,False,GOOGL
2025-04-07,False,False,False,False,False,False,GOOGL
2025-04-08,False,False,True,False,False,True,GOOGL
2025-04-09,False,False,False,False,False,False,GOOGL
2025-04-10,False,False,False,False,False,True,GOOGL
2025-04-11,False,False,False,False,False,True,GOOGL
2025-04-14,True,False,False,False,False,True,GOOGL
2025-04-15,False,False,False,False,False,True,GOOGL
2025-04-16,False,False,False,False,False,False,GOOGL
2025-04-17,False,False,False,False,False,False,GOOGL
2025-03-20,False,False,False,False,False,False,MSFT
2025-03-21,True,False,False,False,False,False,MSFT
2025-03-24,False,False,False,False,False,True,MSFT
2025-03-25,False,False,False,False,False,True,MSFT
2025-03-26,False,False,False,False,False,False,MSFT
2025-03-27,False,False,False,False,False,True,MSFT
2025-03-28,False,True,False,False,False,False,MSFT
2025-03-31,False,False,False,False,False,False,MSFT
2025-04-01,False,False,False,False,False,True,MSFT
2025-04-02,False,False,False,False,False,True,MSFT
2025-04-03,False,False,False,False,False,False,MSFT
2025-04-04,False,False,False,False,False,False,MSFT
2025-04-07,False,False,False,False,False,False,MSFT
2025-04-08,False,False,True,False,False,True,MSFT
2025-04-09,False,False,False,False,False,False,MSFT
2025-04-10,False,False,False,False,False,True,MSFT
2025-04-11,True,False,False,False,False,True,MSFT
2025-04-14,False,False,False,False,False,True,MSFT
2025-04-15,False,False,False,False,False,True,MSFT
2025-04-16,False,False,False,False,False,False,MSFT
2025-04-17,False,True,False,False,False,True,MSFT
